categoria;descricao;titulo;valor_varejo;valor_atacado;valor_varejo_promocional;estoque_geral;estoque_maletas;peso;valor_custo;data_registro;cor_banho;imagem;tamanho_anel;cod_barras;genero;cor_pedra;variacao;tempo_garantia;fornecedor;codigo_fornecedor;preco_aluguel;loc_estoque;destaque;novos
Conjunto;;Conjunto infantil laços ;95.7;0;;-1;0;0;31;02/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-289-688df16567be2.jpeg;0;20092351;;;;0;GAZIN;144636;0;;sim;
Bracelete;;Bracelete bolas liso;98.7;0;;1;1;0;33;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-268-688df1429272f.jpeg;0;20660222;;;;12;GAZIN;144822;0;;sim;
Bracelete;;Bracelete coração liso ;110.7;0;;1;1;0;39;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-269-688df113e9ac5.jpeg;0;20713379;;;;12;GAZIN;129442;0;;sim;
Conjunto;;Conjunto Quadrado Bicolor ;179.9;0;;1;0;0;69.99;01/08/2025;MixBanhos;https://natika.semijoias.net/assets/photos/natika-262-688df0e98e2b8.jpeg;0;20090685;;;;12;GAZIN;145627;0;;sim;
Conjunto;;Conjunto coração vazado liso ;149.7;0;;1;1;0;49;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-264-688df0b21e5e6.jpeg;0;20975616;;;;12;GAZIN;145811;0;;;sim
Conjunto;;Conjunto gota lisa;125.7;0;;1;1;0;39;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-265-688df0472ed97.jpeg;0;20353445;;;;12;GAZIN;144844;0;;;sim
Conjunto;;Conjunto gota lisa ;125.7;0;;1;1;0;44;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-266-688df019d2c5a.jpeg;0;20316785;;;;12;GAZIN;144846;0;;;sim
Conjunto;;Conjunto coração vazado liso;149.7;0;;1;0;0;55;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-263-688deff4586f6.jpeg;0;20259471;;;;12;GAZIN;145813;0;;;sim
Conjunto;;Conjunto Quadrado Bicolor ;179.7;0;;1;1;0;69;01/08/2025;MixBanhos;https://natika.semijoias.net/assets/photos/natika-261-688defd73f7a3.jpeg;0;20020101;;;;12;GAZIN;145626;0;;;
Conjunto;;Conjunto redondo liso;155.7;0;;1;0;0;59;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-267-688defb0edfd8.jpeg;0;20819231;;;;12;GAZIN;145799;0;;;
Anel;;Anel aparador micro zircônia ;116.7;0;;0;0;0;42;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-275-688ded826f7a5.jpeg;18;20226732;;;;12;GAZIN;144315;0;;;
Anel;;Anel redondo micro zircônia ;86.7;0;;1;1;0;26;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-270-688ded49dc044.jpeg;13;20631611;;;;12;GAZIN;120060;0;;;
Anel;;Anel coração micro zircônia ;104.7;0;;0;0;0;36;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-276-688ded1298f85.jpeg;16;20585631;;;;12;GAZIN;128345;0;;;
Anel;;Anel cristais ;128.7;0;;0;0;0;47;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-280-688dece2021be.jpeg;17;20353711;;;;12;GAZIN;133622;0;;;
Anel;;Anel coração vazado ;89.7;0;;0;0;0;29;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-286-688decbf19eb3.jpeg;18;20932664;;;;12;GAZIN;140764;0;;;
Anel;REGULAVEL;Anel menina micro zircônia coração ;95.7;0;;1;1;0;31;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-278-688dec9bddc09.jpeg;0;20753047;;;;12;GAZIN;140006;0;;;
Anel;Regulável ;Anel casal micro zircônia coração ;95.7;0;;1;1;0;31;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-277-688dec751ba1c.jpeg;0;20572631;;;;12;GAZIN;140022;0;;;
Anel;REGULAVEL;Anel X micro zircônia regulável ;107.7;0;;0;0;0;38;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-271-688dec4cadac5.jpeg;0;20757434;;;;12;GAZIN;143578;0;;;
Anel;;Anel quadrado micro zircônia ;89.7;0;;0;0;0;29;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-283-688dec17cae04.jpeg;12;20835798;;;;12;GAZIN;119979;0;;;
Anel;Regulável ;Anel cristais ;98.7;0;;0;0;0;34;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-285-688debdeef67f.jpeg;0;20643911;;;;12;GAZIN;138251;0;;;
Anel;Regulável ;Anel X micro zircônia ;98.7;0;;0;0;0;33;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-274-688debabb695c.jpeg;0;20542887;;;;12;GAZIN;143576;0;;;
Anel;;Anel coração dourado ;80.7;0;;1;1;0;24;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-287-688deb8048845.jpeg;12;20502454;;;;12;GAZIN;96185;0;;;
Anel;Regulável ;Anel liso branco ;134.7;0;;1;1;0;49;01/08/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-284-688deb2751f4d.jpeg;0;20104351;;;;12;GAZIN;146157;0;;;
Anel;Regulável ;Anel borboleta micro zircônia ;119.7;0;;0;0;0;44;01/08/2025;;https://natika.semijoias.net/assets/photos/natika-272-688deaf89505a.jpeg;0;20595593;;;;12;GAZIN;139220;0;;;
Anel;;Anel aparador micro zircônia ;107.7;0;;0;0;0;35;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-273-688dead701e87.jpeg;19;20113322;;;;12;GAZIN;127030;0;;;
Anel;REGULAVEL;Anel menino micro zircônia coração ;95.7;0;;1;1;0;31;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-279-688dea96797e8.jpeg;0;20441517;;;;12;GAZIN;140010;0;;;
Anel;;Anel círculo vazado ;68.7;0;;0;0;0;22;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-281-688dea59e5a6b.jpeg;13;20352196;;;;12;GAZIN;71795;0;;;
Anel;;Anel duplo dourado ;134.7;0;;0;0;0;49;01/08/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-282-688dea2357641.jpeg;20;20547257;;;;12;GAZIN;143864;0;;;
Pingente;LETRA M;PINGENTE LETRA CRAVEJADA ;35.7;35.7;;0;0;0.5;6.69;22/07/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-249-688bfbacc4a34.jpeg;0;20429027;;;;12;TANK BRUTOS;;0;;;
Conjunto;;CONJUNTO BOLA VAZADA;136.8;0;;1;1;4.8;37.76;22/07/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-225-6884c9ad146ab.jpeg;0;20703868;;;;0;ALEXANDRE JOIAS;BR0511P PI0511 COR VEM;0;;;
Pulseira;PULSEIRA RIVIERA CORES;PULSEIRA RIVIERA CORES;80.7;80.7;;2;1;4.3;17.31;22/07/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-228-68856412507bf.jpg;0;20890469;;Colorido;;12;SOPHIA BRUTOS;1344;0;;;
Brinco;;BRINCO CORAÇÃO COM ZIRCONIA;47.7;0;;1;0;0.7;11.61;21/07/2025;Ouro;https://natika.semijoias.net/assets/photos/natika-135-6884c25cd9e43.jpeg;0;20496500;;;;12;TANK BRUTOS;BF11-912;0;;;
Brinco;;BRINCO CORAÇÃO FRISADO ORGANICO;41.7;41.7;;1;1;1.3;10.73;21/07/2025;RodioBranco;https://natika.semijoias.net/assets/photos/natika-148-6883a4f400d73.jpeg;0;20236670;;;;12;TANK BRUTOS;BF13-341;0;;;
