categoria;descricao;titulo;valor_varejo;valor_atacado;valor_varejo_promocional;estoque_geral;estoque_maletas;peso;valor_custo;data_registro;cor_banho;imagem;tamanho_anel;cod_barras;genero;cor_pedra;variacao;tempo_garantia;fornecedor;codigo_fornecedor;preco_aluguel;loc_estoque;destaque;novos
Brinco;BRINCO PONTO DE LUZ CORAÇÃO ;BRINCO PONTO DE LUZ CORAÇÃO ;77.7;0;;1;0;0;22;20/08/2025 18:52;Ouro;https://natika.semijoias.net/assets/photos/natika-331-68a6686380a3c.jpeg;0;20516277;;Verde;;12;GAZIN;145617;0;;;sim
Brinco;;BRINCO PONTO DE LUZ CORAÇÃO ;77.7;0;;1;0;0;22;20/08/2025 18:52;Ouro;https://natika.semijoias.net/assets/photos/natika-330-68a6684aa614e.jpeg;0;20141646;;Azul;;12;GAZIN;145617;0;;;sim
Brinco;;BRINCO INFANTIL CORACAO;41.7;0;;1;0;0;8;20/08/2025 18:50;Ouro;https://natika.semijoias.net/assets/photos/natika-328-68a668372eab7.jpeg;0;20642105;;;;12;GAZIN;144761;0;;;sim
Brinco;;BRINCO INFANTIL CONCHA;47.7;0;;1;0;0;11;20/08/2025 18:49;Ouro;https://natika.semijoias.net/assets/photos/natika-327-68a66826a235c.jpeg;0;20391409;;;;12;GAZIN;140467;0;;;sim
Brinco;;BRINCO INFANTIL FLORZINHA;41.7;0;;1;0;0;8;20/08/2025 18:48;Ouro;https://natika.semijoias.net/assets/photos/natika-326-68a6681627a51.jpeg;0;20792688;;;;12;GAZIN;144646;0;;;sim
Brinco;;BRINCO INFANTIL BORBOLETA;56.7;0;;1;0;0;14;20/08/2025 18:47;Ouro;https://natika.semijoias.net/assets/photos/natika-325-68a6680166c01.jpeg;0;20252281;;;;12;GAZIN;144638;0;;;sim
Brinco;;BRINCO INFANTIL BOLINHAS ;59.7;0;;1;0;0;16;20/08/2025 18:46;Ouro;https://natika.semijoias.net/assets/photos/natika-324-68a667ef7cc2e.jpeg;0;20900199;;;;12;GAZIN;138877;0;;;sim
Anel;;ANEL MICRO ZIRCONIA FRENTE;128.7;0;;1;0;0;42;20/08/2025 12:28;RodioBranco;https://natika.semijoias.net/assets/photos/default.jpg;20;20157524;;;;12;GAZIN;144317;0;;;sim
Anel;REGULAVEL;ANEL TRIPLO;164.7;0;;1;0;0;55;20/08/2025 12:15;Ouro;https://natika.semijoias.net/assets/photos/natika-303-68a5e677ee297.jpeg;0;20224257;;;;12;GAZIN;1387570;0;;;sim
Anel;REGULAVEL;ANEL TRANSPASSADO ;122.7;0;;1;0;0;55;20/08/2025 12:24;RodioBranco;https://natika.semijoias.net/assets/photos/natika-307-68a5e8af2ac46.jpeg;0;20294700;;;;0;GAZIN;144569;0;;;sim
Anel;REGULAVEL;ANEL TRANSPASSADO ;107.7;0;;1;0;0;55;20/08/2025 12:22;Ouro;https://natika.semijoias.net/assets/photos/natika-306-68a5e8400245f.jpeg;0;20426996;;;;12;GAZIN;144569;0;;;sim
Anel;Regulável ;Anel X micro zircônia ;98.7;0;;2;0;0;33;01/08/2025 19:58;Ouro;https://natika.semijoias.net/assets/photos/natika-274-688debabb695c.jpeg;0;20542887;;;;12;GAZIN;143576;0;;;
Anel;Regulável ;Anel cristais ;107.7;0;;1;0;0;34;01/08/2025 20:30;RodioBranco;https://natika.semijoias.net/assets/photos/natika-285-688debdeef67f.jpeg;0;20643911;;;;12;GAZIN;138251;0;;;
Brinco;;BRINCO HEAR CUF 3 FIOS CRAVEJADOS;74.7;0;;1;0;2.2;20.19;21/07/2025 21:33;Ouro;https://natika.semijoias.net/assets/photos/natika-162-6883a6849f204.jpeg;0;20227814;;;;12;TANK BRUTOS;BF13-606;0;;;
Colar;;CORRENTE 1X1;231.9;0;;3;0;16.2;80.73;16/08/2025 08:58;Ouro;https://natika.semijoias.net/assets/photos/natika-294-68a3afb6543d8.jpeg;0;20866327;;;;12;TANK BRUTOS;BR1401140;0;;;
Colar;;CORRENTE 1X1;231.9;0;;2;0;16.2;81.25;16/08/2025 08:58;RodioBranco;https://natika.semijoias.net/assets/photos/natika-295-68a3af7ca2c97.jpeg;0;20779979;;;;0;TANK BRUTOS;BR1401140;0;;;
Colar;;CORRENTE ELO COM NOZINHO;218.1;0;;3;0;15;75.91;16/08/2025 09:01;Ouro;https://natika.semijoias.net/assets/photos/natika-296-68a3ae79869f8.jpeg;0;20984625;;;;12;TANK BRUTOS;BRF1403245;0;;;
Colar;;CORRENTE ELO COM NOZINHO;218.1;0;;2;0;15;76.39;16/08/2025 09:01;RodioBranco;https://natika.semijoias.net/assets/photos/natika-297-68a3ad7f02e9e.jpeg;0;20647520;;;;0;TANK BRUTOS;BRF1403245;0;;;
Colar;;COLAR ELINHO QUADRADO ;149.1;0;;3;0;9.1;50.55;16/08/2025 09:02;RodioBranco;https://natika.semijoias.net/assets/photos/natika-299-68a3aa136c2ce.jpeg;0;20177508;;;;0;TANK BRUTOS;BRF1403245;0;;;
Choker;;CHOCKER MALHA ESTEIRA;182.1;0;;2;0;12.1;63.24;16/08/2025 09:04;RodioBranco;https://natika.semijoias.net/assets/photos/natika-301-68a3a67bbffad.jpeg;0;20969295;;;;0;TANK BRUTOS;BF1406135;0;;;
Colar;;COLAR ELINHO QUADRADO ;149.1;0;;3;0;9.1;50.26;16/08/2025 09:02;Ouro;https://natika.semijoias.net/assets/photos/natika-298-68a3a9365c7a3.jpeg;0;20057237;;;;12;TANK BRUTOS;BRF1403245;0;;;
Choker;;CHOCKER MALHA ESTEIRA;182.1;0;;3;0;12.1;62.85;16/08/2025 09:04;Ouro;https://natika.semijoias.net/assets/photos/natika-300-68a3a6d3b94bf.jpeg;0;20216139;;;;12;TANK BRUTOS;BF1406135;0;;;
Tornozeleira;;TORNOZELEIRA 1 CORAÇÃO ;50.1;0;;2;0;1.6;10.84;16/08/2025 08:54;Ouro;https://natika.semijoias.net/assets/photos/natika-290-68a3a56013e7a.jpeg;0;20245160;;;;12;TANK BRUTOS;BF09176;0;;;
Tornozeleira;;TORNOZELEIRA 1 CORAÇÃO ;50.1;0;;2;0;1.6;10.89;16/08/2025 08:54;RodioBranco;https://natika.semijoias.net/assets/photos/natika-291-68a3a4d5ba706.jpeg;0;20069919;;;;0;TANK BRUTOS;BF09176;0;;;
Tornozeleira;;TORNOZELEIRA BOLINHA;54.9;0;;2;0;1.7;12.26;16/08/2025 08:56;RodioBranco;https://natika.semijoias.net/assets/photos/natika-293-68a3a4334f623.jpeg;0;20107789;;;;0;TANK BRUTOS;BF09181;0;;;
Tornozeleira;;TORNOZELEIRA BOLINHA;54.9;0;;3;0;1.7;12.21;16/08/2025 08:56;Ouro;https://natika.semijoias.net/assets/photos/natika-292-68a3a382b0bf8.jpeg;0;20061258;;;;12;TANK BRUTOS;BF09181;0;;;
Pulseira;;PULSEIRA CORAÇÃO CRAVEJADO AJUSTAVEL;62.7;0;;0;0;2.3;19.87;22/07/2025 20:12;RodioBranco;https://natika.semijoias.net/assets/photos/natika-237-6884f997b31e8.jpeg;0;20151225;;;;12;TANK BRUTOS;BF12-228;0;;;
Conjunto;;Conjunto infantil laços ;95.7;0;;0;0;0;31;02/08/2025 08:07;Ouro;https://natika.semijoias.net/assets/photos/natika-289-688df16567be2.jpeg;0;20092351;;;;0;GAZIN;144636;0;;;
Bracelete;;Bracelete bolas liso;98.7;0;;1;0;0;33;01/08/2025 19:38;Ouro;https://natika.semijoias.net/assets/photos/natika-268-688df1429272f.jpeg;0;20660222;;;;12;GAZIN;144822;0;;;
Bracelete;;Bracelete coração liso ;110.7;0;;1;0;0;39;01/08/2025 19:41;RodioBranco;https://natika.semijoias.net/assets/photos/natika-269-688df113e9ac5.jpeg;0;20713379;;;;12;GAZIN;129442;0;;;
Conjunto;;Conjunto Quadrado Bicolor ;179.9;0;;1;0;0;69.99;01/08/2025 19:23;MixBanhos;https://natika.semijoias.net/assets/photos/natika-262-688df0e98e2b8.jpeg;0;20090685;;;;12;GAZIN;145627;0;;;
Conjunto;;Conjunto coração vazado liso ;149.7;0;;1;0;0;49;01/08/2025 19:27;Ouro;https://natika.semijoias.net/assets/photos/natika-264-688df0b21e5e6.jpeg;0;20975616;;;;12;GAZIN;145811;0;;;
Conjunto;;Conjunto gota lisa;125.7;0;;1;0;0;39;01/08/2025 19:30;Ouro;https://natika.semijoias.net/assets/photos/natika-265-688df0472ed97.jpeg;0;20353445;;;;12;GAZIN;144844;0;;;
Conjunto;;Conjunto gota lisa ;125.7;0;;1;0;0;44;01/08/2025 19:33;RodioBranco;https://natika.semijoias.net/assets/photos/natika-266-688df019d2c5a.jpeg;0;20316785;;;;12;GAZIN;144846;0;;;
Conjunto;;Conjunto coração vazado liso;149.7;0;;0;0;0;55;01/08/2025 19:25;RodioBranco;https://natika.semijoias.net/assets/photos/natika-263-688deff4586f6.jpeg;0;20259471;;;;12;GAZIN;145813;0;;;
Conjunto;;Conjunto Quadrado Bicolor ;179.7;0;;1;0;0;69;01/08/2025 19:19;MixBanhos;https://natika.semijoias.net/assets/photos/natika-261-688defd73f7a3.jpeg;0;20020101;;;;12;GAZIN;145626;0;;;
Conjunto;;Conjunto redondo liso;155.7;0;;1;0;0;59;01/08/2025 19:35;Ouro;https://natika.semijoias.net/assets/photos/natika-267-688defb0edfd8.jpeg;0;20819231;;;;12;GAZIN;145799;0;;;
Anel;;Anel aparador micro zircônia ;116.7;0;;0;0;0;42;01/08/2025 20:00;RodioBranco;https://natika.semijoias.net/assets/photos/natika-275-688ded826f7a5.jpeg;18;20226732;;;;12;GAZIN;144315;0;;;
Anel;;Anel redondo micro zircônia ;86.7;0;;0;0;0;26;01/08/2025 19:44;Ouro;https://natika.semijoias.net/assets/photos/natika-270-688ded49dc044.jpeg;13;20631611;;;;12;GAZIN;120060;0;;;
Anel;;Anel coração micro zircônia ;104.7;0;;0;0;0;36;01/08/2025 20:04;RodioBranco;https://natika.semijoias.net/assets/photos/natika-276-688ded1298f85.jpeg;16;20585631;;;;12;GAZIN;128345;0;;;
Anel;;Anel cristais ;128.7;0;;0;0;0;47;01/08/2025 20:12;RodioBranco;https://natika.semijoias.net/assets/photos/natika-280-688dece2021be.jpeg;17;20353711;;;;12;GAZIN;133622;0;;;
Anel;;Anel coração vazado ;89.7;0;;0;0;0;29;01/08/2025 20:32;Ouro;https://natika.semijoias.net/assets/photos/natika-286-688decbf19eb3.jpeg;18;20932664;;;;12;GAZIN;140764;0;;;
Anel;REGULAVEL;Anel menina micro zircônia coração ;95.7;0;;1;0;0;31;01/08/2025 20:08;Ouro;https://natika.semijoias.net/assets/photos/natika-278-688dec9bddc09.jpeg;0;20753047;;;;12;GAZIN;140006;0;;;
Anel;Regulável ;Anel casal micro zircônia coração ;95.7;0;;1;0;0;31;01/08/2025 20:06;Ouro;https://natika.semijoias.net/assets/photos/natika-277-688dec751ba1c.jpeg;0;20572631;;;;12;GAZIN;140022;0;;;
Anel;REGULAVEL;Anel X micro zircônia regulável ;107.7;0;;0;0;0;38;01/08/2025 19:48;RodioBranco;https://natika.semijoias.net/assets/photos/natika-271-688dec4cadac5.jpeg;0;20757434;;;;12;GAZIN;143578;0;;;
Anel;;Anel quadrado micro zircônia ;89.7;0;;0;0;0;29;01/08/2025 20:23;Ouro;https://natika.semijoias.net/assets/photos/natika-283-688dec17cae04.jpeg;12;20835798;;;;12;GAZIN;119979;0;;;
Anel;;Anel coração dourado ;80.7;0;;1;0;0;24;01/08/2025 20:34;Ouro;https://natika.semijoias.net/assets/photos/natika-287-688deb8048845.jpeg;12;20502454;;;;12;GAZIN;96185;0;;;
Anel;Regulável ;Anel liso branco ;134.7;0;;1;0;0;49;01/08/2025 20:27;RodioBranco;https://natika.semijoias.net/assets/photos/natika-284-688deb2751f4d.jpeg;0;20104351;;;;12;GAZIN;146157;0;;;
Anel;Regulável ;Anel borboleta micro zircônia ;119.7;0;;0;0;0;44;01/08/2025 19:53;;https://natika.semijoias.net/assets/photos/natika-272-688deaf89505a.jpeg;0;20595593;;;;12;GAZIN;139220;0;;;
Anel;;Anel aparador micro zircônia ;107.7;0;;0;0;0;35;01/08/2025 19:56;Ouro;https://natika.semijoias.net/assets/photos/natika-273-688dead701e87.jpeg;19;20113322;;;;12;GAZIN;127030;0;;;
